english,chinese,symbol,symbol_br,phrase,similar,unit
set,"v.放,置,移动到,使(人或事物处于某种状态),提出,树立,规定,调整;n.一套,一副,一批,接受机,装置,趋势,布景;adj.固定的,规定的,坚决的,固执的,事先做好的;Secure Electronics Transations Protocol,安全电子商务协议",sɛt,set,,,unit-22
shake,"v.摇动,摇,颤抖,震动n.摇动,摇,颤抖,震动",ʃek,ʃeik,,,unit-22
shall,"v.aux.将,会",,,,,unit-22
shape,"n.外形,形状,形态,(尤指女子的)体形,身段,形式vt.制作,定形,使成形,塑造,使符合vi.成形,形成,成长",ʃep,ʃeip,,,unit-22
share,"n.共享,参与,一份,部分,份额,参股vt.分享,均分,共有,分配vi.分享","ʃɛr,ʃær",ʃɛə,,,unit-22
sheep,"n.羊,绵羊,羞答答的人,胆小鬼,信徒",ʃip,ʃi:p,,,unit-22
shelf,"n.架子,搁板",ʃɛlf,ʃelf,,,unit-22
shell,"n.贝壳,壳,外形,炮弹vt.去壳,脱落,炮轰vi.剥落,脱壳 [计] 设定命令行解释器的位置",ʃɛl,ʃel,,,unit-22
shine,"v.照耀,发光vt.擦亮n.光泽,光亮",ʃaɪn,ʃain,,,unit-22
ship,"n.船,海船,舰v.装上船,航运,载运,在船上工作",ʃɪp,ʃip,,,unit-22
shirt,"n.衬衫,衬衣",ʃʒt,ʃə:t,,,unit-22
shoe,"n.鞋,鞋子v.穿...鞋",,,,,unit-22
shoot,"n.射击,发射,摄影,急流vt.射击,投射,伸出,拍摄,用完,挥出,给...注射,使爆炸vi.射出,射击,发出,发芽,射门,拍电影",,,,,unit-22
shop,"n.商店,店铺vi.买东西,购货",ʃɑp,ʃɔp,,,unit-22
shopping,"n.买东西,购物",`ʃɑpɪŋ,ˈʃɔpiŋ,,,unit-22
short,"n.简略,短路,短裤adj.短的,矮的,不足的,不够的,(智力等)弱的,浅薄的,松脆的,简短adv.突然,缺乏,不足",ʃɔrt,ʃɔ:t,,,unit-22
shorts,n.短裤,ʃɔrts,ʃɔ:ts,,,unit-22
should,"v.aux.应该,将要",,,,,unit-22
shoulder,"n.肩,肩部,侧翼vt.肩负,承当",`ʃoldɚ,ˈʃouldə,,,unit-22
shout,"v.呼喊,呼叫n.呼喊,呼叫",,,,,unit-22
show,"n.表示,展览,炫耀,外观,假装v.出示,指示,引导,说明,显示,展出,放映",,,,,unit-22
shower,"n.阵雨,淋浴,(一)阵,(一)大批vt.大量地给与",`ʃaʊɚ,ˈʃauə,,,unit-23
shut,"v.关上,闭上,关闭",,,,,unit-23
shy,"adj.怕羞的,畏缩的,害羞的",ʃaɪ,ʃai,,,unit-23
sick,"n.病人adj.不舒服,有病的,恶心的,厌恶的,渴望的,病态的vt.呕吐,追击,使狗去咬",sɪk,sik,,,unit-23
side,"n.边,旁边,面,侧面,胁,一方,(一个)方面,摆架子adj.旁边的,侧面的,副的,枝节的vi.站在同一边",saɪd,said,,,unit-23
sign,"n.标记,符号,记号,征兆,迹象,征候v.签名(于),署名(于)～,签署",saɪn,sain,,,unit-23
silk,n.丝绸,sɪlk,silk,,,unit-23
silly,"adj.愚蠢的,无聊的,失去知觉的,无助的",`sɪlɪ,ˈsili,,,unit-23
since,"adv.以后,后来,以前 prep.自从,自...以来 conj.自...以后,自...以来,因为,既然",sɪns,sins,,,unit-23
sing,"v.唱,演唱",sɪŋ,siŋ,,,unit-23
sir,"n.先生,阁下,(对爵士或男爵前的尊称)爵士",,,,,unit-23
sit,"v.(使)就座,(使)坐",sɪt,sit,,,unit-23
size,"n.大小,尺寸,(衣服等)尺码vt.依大小排列 /n.大小/移动",saɪz,saiz,,,unit-23
skate,"n.冰鞋,溜冰,老马,可鄙的人vi.滑冰,滑过",sket,skeit,,,unit-23
ski,n.滑雪橇vi.滑雪,ski,ski:,,,unit-23
skin,"n.皮,皮肤,兽皮,皮毛,外皮,外壳v.长皮",skɪn,skin,,,unit-23
skirt,n.裙子v.环绕,skʒt,skə:t,,,unit-23
sky,"n.天,天空",skaɪ,skai,,,unit-23
sleep,"vi.睡,睡觉n.睡眠",slip,sli:p,,,unit-23
slide,"v.(使)滑动,(使)滑行n.滑,滑动,幻灯片",slaɪd,slaid,,,unit-23
slim,"adj.苗条的,纤细的,不足取的,无价值的,细长的v.变细,减肥",slɪm,slim,,,unit-23
slip,"n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line Interface Protocol,串行线路接口协议",slɪp,slip,,,unit-23
slow,"adj.慢的,迟钝的,不活跃的,缓慢的v.(～ down)(使)慢下来,(使)减速,减缓adv.缓慢",,,,,unit-23
small,"adj.小的,少的",smɔl,smɔ:l,,,unit-23
smart,"n.刺痛,痛苦adj.巧妙的,聪明的,漂亮的,潇洒的,刺痛的,剧烈的,厉害的,敏捷的vi.刺痛,懊恼 轻快地,严厉地,灵巧地,精确的,时髦地,大大的",smɑrt,smɑ:t,,,unit-23
smell,"n.气味,臭味,嗅觉v.嗅,闻到,散发(...的)气味,有(...的)气味",smɛl,smel,,,unit-23
smile,vi.(～ at) 微笑n.微笑,smaɪl,smail,,,unit-23
smoke,"n.烟,烟尘,烟幕v.抽烟,吸烟vi.冒烟",,,,,unit-23
snake,n.蛇v.迂回前进,snek,sneik,,,unit-23
snail,"n.蜗牛,迟钝的人v.捉蜗牛,缓慢移动",snel,sneil,,,unit-23
snack,"n.小吃,快餐,一份v.吃快餐(小吃)",snæk,snæk,,,unit-23
snow,n.雪vi.下雪,,,,,unit-23
so," conj.因而,所以,那么,这样看来adv.[表示程度] 如此,那么,非常,很,[表示方式] 这样,那样,如此,因此 [域] Somalia ,索马里",,,,,unit-23
soap,"n.肥皂;Simple Object Access Protocol,简单对象访问协议",,,,,unit-23
sock,"n.短袜,鞋内衬底,轻软鞋,一击,零食vt.给...穿袜,重击,猛投,请...吃零食vi.爱吃零食adj.非常成功的adv.正着地,不偏不倚地",sɑk,sɔk,,,unit-23
sofa,n.沙发,`sofə,ˈsoufə,,,unit-23
soft,"adj.软的,柔软的,温和的,温柔的,不含酒精的n.软件",sɔft,sɔft,,,unit-24
some,"adj.一些,少许,若干,有些,大约,相当的 pron.一些,若干,有些,某些",,,,,unit-24
someday,adv.有一天,`sʌmˌde,ˈsʌmdei,,,unit-24
someone," pron.有人,某人","`sʌmˌwʌn,_wən",ˈsʌmwʌn,,,unit-24
something," pron.某事,某物adj.有点象,大约",`sʌmθɪŋ,ˈsʌmθiŋ,,,unit-24
sometime,"adv.在某一时候,曾经,有一天",`sʌmˌtaɪm,ˈsʌmtaim,,,unit-24
sometimes,"adv.不时,有时",`sʌmˌtaɪmz,ˈsʌmtaimz,,,unit-24
somewhere,"adv.某处,在某处","`sʌmˌhwɛr,-ˌwɛr","ˈsʌmwɛə,_hwɛə",,,unit-24
song,"n.歌,歌曲",sɔŋ,sɔŋ,,,unit-24
soon,"adv.立刻,不久,快,早,宁愿",,,,,unit-24
sorry,"adj.遗憾的,对不起的,可怜的,抱歉的","`sɔrɪ,`sɑrɪ",ˈsɔri,,,unit-24
sound,"n.声音,语音,噪音,吵闹,海峡,听力范围,探条adj.健全的,可靠的,合理的,有效彻底的,健康的adv.彻底地,充分地vi.发出声音,回响,测深,听起来vt.使发声,宣告,听诊,测...深,试探",,,,,unit-24
soup,,,,,,unit-24
sour,"adj.酸的,发酵的,酸腐的,酸味的",saʊr,ˈsauə,,,unit-24
space,"n.空间,间隔,距离,空地,余地,一段时间vt.留间隔,隔开",spes,speis,,,unit-24
speak,"v.说话,谈话,说明事实,表示意见,发言,演讲,操(某种语言)",spik,spi:k,,,unit-24
special,"n.特派员,专车,专刊adj.特别的,特殊的,专门的,专用的",`spɛʃəl,ˈspeʃl,,,unit-24
speech,"n.演说,讲话 语音",spitʃ,spi:tʃ,,,unit-24
spell,"n.符咒,魅力,一段时间,轮班vt.拼写,拼成,意味着,轮值,招致,迷住vi.轮替,拼字",spɛl,spel,,,unit-24
spend,"v.花费,消耗,用尽vt.度过,消磨",spɛnd,spend,,,unit-24
spicy,"adj.加香料的,出产香料的,辛辣的,有风味的",`spaɪsɪ,ˈspaisi,,,unit-24
spit,"n.唾液v.吐(唾沫),吐出,发射,发出,喷吐",spɪt,spit,,,unit-24
sport,"n.运动,[pl.] 运动会","sport,spɔrt",spɔ:t,,,unit-24
spot,"n.班点,污点,地点,场所,现场v.沾污,弄脏,侦察vt.认出,发现",spɑt,spɔt,,,unit-24
spread,"n.伸展,展开,传播,蔓延,酒席,宴会,桌布v.伸展,展开,铺,涂,敷,摆,传播,散布",sprɛd,spred,,,unit-24
spring,"n.春天,跃起,泉,弹簧,发条,弹性,弹力,根源v.跳,跃,跃出,使跳跃,使爆炸,触发",sprɪŋ,spriŋ,,,unit-24
square,"n.正方形,广场,平方,直角尺adj.正方形的,四方的,直角的,正直的,公平的,结清的,平方的,彻底的adv.成直角地,正直地,公平地,坚定地v.使成方形,弄平,使直,与...一致,符合,自乘,结算",skwɛr,skwɛə,,,unit-24
stage,"n.舞台,戏剧,活动场所,发展的进程,阶段或时期,驿站vt.上演,筹备,举行",stedʒ,steidʒ,,,unit-24
stair,"n.(阶梯的某)一级,楼梯",stɛr,stɛə,,,unit-24
stamp,"n.邮票,印花,印,图章,标志,印记,跺脚,顿足v.跺(脚),顿(足),压印",stæmp,stæmp,,,unit-24
stand,"n.停止,抵抗的状态,立场,立足点,看台,架子,台v.站,立,站起,(使)竖立,(使)位于,维持不变,持久,经受",stænd,stænd,,,unit-24
star,"n.星,恒星,明星,名角",stɑr,stɑ:,,,unit-24
start,"n.动身,出发点,开始,惊起,惊跳,赛跑的先跑权,优先地位v.出发,起程,开始,着手,惊动,惊起,起动,发动  削减战略武器条约START(Strategic Arms Reduction Treaty)",stɑrt,stɑ:t,,,unit-24
station,"n.位置,岗位,地位,身份,...局,...站vt.驻扎,配置",`steʃən,ˈsteiʃn,,,unit-24
stay,"n.逗留,延缓,中止,支柱v.在,暂住,坚持,止住,抑制,延缓,停(下)",ste,stei,,,unit-24
steal,"v.偷,窃取,偷窃,偷盗",stil,sti:l,,,unit-25
step,"n.脚步,步幅,步调,步伐,步骤,措施,梯级,台阶v.走,举步,移步,踏 产品数据转换规范",stɛp,step,,,unit-25
stick,"n.棍,棒,手杖v.粘住,粘贴vt.刺,戳",stɪk,stik,,,unit-25
still,"n.寂静,剧照,照片adj.静止的,静寂的adv.还,仍,更,还要,尽管如此,依然 静止画面,静态图片",stɪl,stil,,,unit-25
stir,"n.轰动,搅动,监牢vt.动,移动,摇动,激起,搅和,惹起vi.走动,传播,流行",stʒ,stə:,,,unit-25
stocking,n.长袜,`stɑkɪŋ,ˈstɔkiŋ,,,unit-25
stomach,"n.胃,胃口,胃部v.容忍",`stʌmək,ˈstʌmək,,,unit-25
stomachache,"n.胃痛,肚子痛",,,,,unit-25
stone,"n.石,石头,宝石",,,,,unit-25
stop,"n.停止,车站,逗留,障碍,风琴的音栓,填塞vi.停止,被塞住vt.塞住,堵塞,阻止,击落,断绝,终止,难倒",stɑp,stɔp,,,unit-25
store,"vt.贮藏,贮备,存储n.商店,店铺,贮藏,贮备","stor,stɔr",stɔ:,,,unit-25
story,"n.故事,小说,传说,事迹,经历,假话,谎话","`storɪ,`stɔrɪ",ˈstɔ:ri,,,unit-25
storybook,"n. 故事书,小说adj. 像童话故事那样圆满幸福的",,,,,unit-25
straight,"adj.直的,诚实的,正直的,率直的,整齐的adv.直,直接,一直",stret,streit,,,unit-25
strange,"adj.陌生的,生疏的,前所未知的,奇怪的,奇异的,不惯的",strendʒ,streindʒ,,,unit-25
street,"n.街,街道",strit,stri:t,,,unit-25
strict,"adj.(～ with) 严格的,严厉的,严谨的,精确的",strɪkt,strikt,,,unit-25
strong,"adj.强,强壮的,坚固的,浓的,强烈的,强大的,强的,强硬的",strɔŋ,strɔŋ,,,unit-25
student,"n.(大小学校的)学生,研究者,学者",,,,,unit-25
study,"n.学习,研究,学科,试作,论文,求学,努力,书房vt.学习,攻读,研究,考虑,计划vi.学习,试图",`stʌdɪ,ˈstʌdi,,,unit-25
style,"n.风格,时尚,文体,风度,类型,字体vt.称呼,设计,使合潮流 使铁笔作装饰画",staɪl,stail,,,unit-25
subject,"n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属",`sʌbdʒɪkt,ˈsʌbdʒikt,,,unit-25
success,"n.成功,成就,胜利,发迹,兴旺",sək`sɛs,səkˈses,,,unit-25
such,"adj.这样的,这种,某一 pron.这样的人(们)或物",,,,,unit-25
summer,"n.夏季vi.避暑,过夏天adj.夏季的,在夏季的",`sʌmɚ,ˈsʌmə,,,unit-25
sun,"n.太阳,阳光,恒星vt.晒n.(Sun) 星期天(=Sunday) 美国Sun公司,主要生产SUN系列工作站和网络产品,是JAVA语言的创始者",,,,,unit-25
sunglasses,,,,,,unit-25
sunny,"adj.阳光充足的,照耀的,快乐的",`sʌnɪ,ˈsʌni,,,unit-25
sunrise,n.日出,`sʌnˌraɪz,ˈsʌnraiz,,,unit-25
supermarket,n.超级市场,`supɚˌmɑrkɪt,ˈsu:pəˌmɑ:kit,,,unit-25
supper,n.晚餐,`sʌpɚ,ˈsʌpə,,,unit-25
sure,"adj.对....有把握,确信某事,稳当的,可靠的adv.的确,当然",ʃʊr,"ʃuə,ʃɔ:",,,unit-25
surf,"n.海浪,拍岸浪vi.作冲浪运动vt.在激浪上驾(船),在...冲浪",sʒf,sə:f,,,unit-25
surprice,,,,,,unit-25
swan,"n.天鹅,杰出的诗人、歌手,天鹅座","swɑn,swɔn",swɔn,,,unit-25
sweater,"n.厚运动衫,毛线衫",`swɛtɚ,ˈswetə,,,unit-25
sweatpants,,,,,,unit-26
sweep,"v.扫,打扫,清扫,席卷,冲光,扫过,掠过",swip,swi:p,,,unit-26
sweet,"adj.甜的,可受的,美好的,芳香的n.糖果",swit,swi:t,,,unit-26
swim,"n.游泳,漂浮,潮流,眼花adj.游泳时穿戴的vi.游泳,游,漂浮,旋转,覆盖,充溢,眩晕,浸vt.游过,使浮起adj.游泳时穿戴的",swɪm,swim,,,unit-26
swimming,"n.游水,目眩adj.游泳(者)的,游泳(者)用的,会游泳的",,,,,unit-26
T-shirt,,,,,,unit-26
table,"n.桌子,餐桌,工作台,平地层,石板,表格adj.桌子的,台子的vt.搁置,嵌合,制表",`tebl,ˈteibl,,,unit-26
tail,"n.尾部,尾巴,尾状物,后部,踪迹,排的长队,限定继承权;adj.在后面的,限定继承的,尾部的,后面来的,后部的;vt.为...装尾,附于其后,尾随,跟踪,监视,使架住;vi.成为散乱的行列,跟踪,嵌入,船尾搁浅",tel,teil,,,unit-26
take,"v.拿,拿走,取,抓,占领,获得,接受,感受n.捕获量",tek,teik,,,unit-26
talk,"v.谈话,讲,谈论,议论,说服某人做某事n.谈话,会谈,讲演,讲话",tɔk,tɔ:k,,,unit-26
tall,"adj.高的,长的,夸大的adv.<俚> 夸大地",tɔl,tɔ:l,,,unit-26
tape,"n.带子,带,录音带,磁带vt.录音",tep,teip,,,unit-26
taste,"v.品尝,辨味,(of)有 ...味道,领略vt.体验,感到n.味道,味觉",test,teist,,,unit-26
tasty,"adj.好吃的,可口的n.好吃的东西,吸引人的东西",`testɪ,ˈteisti,,,unit-26
taxi,n.出租汽车v.乘坐出租汽车,`tæksɪ,ˈtæksi,,,unit-26
tea,"n.茶,茶树,茶叶,茶点vt.给...沏茶vi.喝茶,进茶点",ti,ti:,,,unit-26
teach,"v.讲授,教授",titʃ,ti:tʃ,,,unit-26
teacher,n.教师,`titʃɚ,ˈti:tʃə,,,unit-26
team,"n.队,组",tim,ti:m,,,unit-26
teapot,n.茶壶,,,,,unit-26
telephone,"n.电话,电话机v.打电话",`tɛləˌfon,ˈtelifoun,,,unit-26
television,"n.电视,电视机,电机学,电视广播事业",`tɛləˌvɪʒən,"ˈteliˌviʒn,ˌteliˈviʒn",,,unit-26
tell,"vt.告诉,说,吩咐,断定,知道vi.讲述,泄密,告发,表明,作证n.<方>讲的事,传闻",tɛl,tel,,,unit-26
temperature,n.温度,`tɛmprətʃɚ,ˈtemprətʃə,,,unit-26
temple,"n.庙,寺,神殿,教堂,礼拜堂,太阳穴,鬓角",`tɛmpl,ˈtempl,,,unit-26
tennis,"n.网球运动adj.网球的,用于网球运动的vi.打网球",`tɛnɪs,ˈtenis,,,unit-26
tent,n.帐篷,tɛnt,tent,,,unit-26
term,"n.学期,期限,期间,条款,条件,术语",tʒm,tə:m,,,unit-26
terrible,"adj.很糟的,极坏的,可怕的,骇人的",`tɛrəbl,ˈterəbl,,,unit-26
test,"n.测试,试验,检验v.测试,试验,检验",tɛst,test,,,unit-26
than, conj.比 prep.与...相比较,,,,,unit-26
thank,"vt.感谢,用于表示强制的要求,用将来时",θæŋk,θæŋk,,,unit-26
thanks,n.感谢;int.谢谢,,,,,unit-26
that,"adj.那,那个 pron.那,那个 conj.引导从句",ðæt,ðæt,,,unit-26
the, art.那,,,,,unit-26
theatre,n.=theater,`θiətɚ,ˈθi:ətə,,,unit-27
then,"adv.当时,在那时,那么,因而,然后,于是",ðɛn,ðen,,,unit-27
there,adv.在那里,ðɛr,ðɛə,,,unit-27
these,adj.pron.这些,ðiz,ði:z,,,unit-27
thick,"adj.厚的,粗的,稠的,浓的n.最拥挤部份,活动最多部份,事物的粗大浓密部份",θɪk,θik,,,unit-27
thief,"n.小偷,贼",θif,θi:f,,,unit-27
thin,"adj.薄的,细的,瘦的,稀少的,稀疏的,(液体、气体)稀薄的,淡的,空洞的vt.使变薄,使变细,使稀少,使淡vi.变薄,变细,稀少,变淡adv.薄地,稀疏地,微弱地n.细小部分",θɪn,θin,,,unit-27
thing,"n.东西,物,[pl.] 所有物,用品,事,事情,事件,[pl.] 事态",θɪŋ,θiŋ,,,unit-27
think,"v.想,思索,认为vt.认为,以为,预料",θɪŋk,θiŋk,,,unit-27
thirsty,"adj.口渴的,渴望的,热望的",`θʒstɪ,ˈθə:sti,,,unit-27
this,"adj.这,这个,今,本 pron.这,这个",ðɪs,ðis,,,unit-27
those,adj.pron.那些,,,,,unit-27
through," prep.穿过,通过,从开始到结束,经由,以adv.从头到尾,自始至终,直达地,彻底,完全adj.直达的,直通的",,,,,unit-27
throw,"n.投,掷v.扔,抛,(指马)把骑者摔在地上,使苦恼,惊忧,投掷",,,,,unit-27
tick,"n.滴答声,记号,勾号,扁虱v.滴答地响,标以记号,作滴答声",tɪk,tik,,,unit-27
ticket,"n.票,入场券",`tɪkɪt,ˈtikit,,,unit-27
tidy,"n.椅子的背罩,装杂碎的容器adj.整齐的,整洁的,精简的vt.弄整齐,收拾,整理vi.整理,收拾adj.<口>可观的、相当大的",`taɪdɪ,ˈtaidi,,,unit-27
tie,"n.带子,线,鞋带,不分胜负,关系,领带,领结,平局vt.系,打结,扎,约束,与...成平局vi.被用带(或绳子等)系住,结合,打结,不分胜负",taɪ,tai,,,unit-27
till," prep.直到,在...以前,迄 conj.在...以前,直到...为止vt.耕种n.(商店)铁柜,放钱的抽屉,备用现金,冰渍","tɪl,tl",til,,,unit-27
time,"n.时间,时侯,时机,节拍,期限,次数,时期,比赛限时vt.安排...的时间,记录...的时间,计时,定时vi.打拍子,(...)合拍adj.时间的,记时的,定时的,定期的,分期的 /n.时间/日期",taɪm,taim,,,unit-27
tin,"n.[化]锡,马口铁,罐vt.涂锡于adj.锡制的",tɪn,tin,,,unit-27
tip,"n.顶,尖端,梢,倾斜,轻击,末端,小费,秘密消息vt.在...顶端装附加物,使倾斜,使翻倒,暗示,轻击,给,泄露,给小费vi.倾斜,翻倒,倾覆,踮脚走,给小费n.提示,技巧",tɪp,tip,,,unit-27
to," prep.向,往,给...,于...,直到...为止,在...之前,比,对,[表示程度、范围] 到,达 [域] Tonga ,汤加",,,,,unit-27
today,"adv.今天,现今n.今天,现今",tə`de,"təˈdei,tuˈdei",,,unit-27
toe,"n.趾,脚趾,足尖vt.以趾踏触,用脚尖走vi.动脚尖 [军] Tables of Organization and Equipment,编制及装备表",,,,,unit-27
together,"adv.共同,一起,合起来,集拢地",tə`gɛðɚ,"təˈɡeðə,tuˈɡ_",,,unit-27
toilet,"n.盥洗室,梳洗",`tɔɪlɪt,ˈtɔilit,,,unit-27
tomato,"n.番茄,西红柿",tə`meto,təˈmɑ:tou,,,unit-27
tomorrow,"adv.明天见n.明天,未来","tə`mɔro,_`mɑr_","təˈmɔrou,tuˈm_",,,unit-27
tongue,"n.舌头,舌状物,语言,说话方式,口语vt.舔,闲谈,斥责vi.吹管乐器",,,,,unit-27
tonight,"adv.今晚,今夜n.今晚",tə`naɪt,"təˈnait,tuˈn_",,,unit-27
too,"adv.也,太过份",,,,,unit-27
tooth,n.牙齿,,,,,unit-27
toothache,n.牙痛,,,,,unit-27
top,"n.顶部,顶端,极点,顶蓬,陀螺,(常用复数)根菜植物的叶子,上部,盖子adj.最高的,顶上的,头等的vt.盖,戴,高耸,达到顶端,截去(植物)顶端,高过,超越vi.结束,完成,胜过",tɑp,tɔp,,,unit-27
topic,"n.话题,主题",`tɑpɪk,ˈtɔpik,,,unit-27
touch,"n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到,涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到",,,,,unit-28
tour,"n.旅行,游历,旅游v.旅行,游历,巡回,漫游",tʊr,tuə,,,unit-28
tower,"n.塔,城堡",`taʊɚ,ˈtauə,,,unit-28
town,"n.市镇,城镇",,,,,unit-28
toy,,,,,,unit-28
traditional,"adj.传统的,惯例的,口传的,传说的",trə`dɪʃənl,trəˈdiʃənl,,,unit-28
traffic,"n.交通,通行,运输,贸易,交通量,交易,交往,通信量vi.交易,买卖vt.在...通行,用...作交换",`træfɪk,ˈtræfik,,,unit-28
train,"n.火车,列车,行列,后果,顺序,长队,长袍(裙)拖地的部分,导火线vt.训练,培养,瞄准,(园艺)整枝vi.锻炼",tren,trein,,,unit-28
trash,"n.无价值之物,无聊的作品,垃圾,废物",træʃ,træʃ,,,unit-28
travel,"v.旅行,传播vi.行进,传播n.旅行",`trævl,ˈtrævl,,,unit-28
treat,"n.宴请,款待,请客vt.视为,对待,论述,治疗,款待vi.交涉,谈判,协商,款待,作东",trit,tri:t,,,unit-28
tree,"n.树,木料,树状物vt.赶上树n.[计] 显示驱动器的子目录结构vi.爬上树,逃上树",tri,tri:,,,unit-28
trick,"n.诡计,骗局,恶作剧,窍门,诀窍vt.欺骗,哄骗",trɪk,trik,,,unit-28
trip,"n.(短途)旅行,绊倒,摔倒,失足,往返,差错,支吾,旅程vt.使跌倒,使犯错,使失败,挑剔vi.轻快地走,摔倒,绊倒,失足,结巴,远足,犯错,旅行",trɪp,trip,,,unit-28
trousers,"n.pl.裤子,长裤",`traʊzɚz,ˈtrauzəz,,,unit-28
trunk,"n.干线,树干,躯干,箱子,主干,象鼻vt.把...放入旅行箱内adj.树干的,躯干的,干线的,箱形的",,,,,unit-28
truth,"n.事实,确实,真理,原理",,,,,unit-28
try,"n.尝试v.试,试图,努力,试验,磨难,考验,审问",traɪ,trai,,,unit-28
turn,"n.转动,旋转,转变方向,轮流,时机,(一)回,倾向,癖性v.(使)转动,翻转,扭转,(使)变质,超过(年龄,数量等),车(成)",tʒn,tə:n,,,unit-28
turtle,n.海龟,`tʒtl,ˈtə:tl,,,unit-28
twice,"adv.两次,两倍",twaɪs,twais,,,unit-28
twin,"n.双胞胎中一人,孪生子adj.双胞胎的,一对的,相似的vi.生双胞胎,成对vt.孪生,使成对",twɪn,twin,,,unit-28
type,"n.类型,典型,模范,[印刷]活字,铅字v.打字,测定(血等)类型",taɪp,taip,,,unit-28
ugly,"adj.丑陋的,难看的",`ʌglɪ,ˈʌɡli,,,unit-28
umbrella,"n.伞,雨伞,庇护",ʌm`brɛlə,ʌmˈbrelə,,,unit-28
under," prep.在...之下,在...之内,在...领导下,低于,假借adv.在下",`ʌndɚ,ˈʌndə,,,unit-28
underground,"adj.地下的,地面下的,秘密的n.[英] 地铁adv.在地下,秘密地",`ʌndɚ`graʊnd,ˈʌndəɡraund,,,unit-28
understand,"v.懂,了解,听说,推定,以为,省略",ˌʌndɚ`stænd,ˌʌndəˈstænd,,,unit-28
until," prep.到...为止,在...以前 conj.到...为止,在...以前,直到...才",ən`tɪl,ənˈtil,,,unit-28
upset,"vt.颠覆,推翻,扰乱,使不适,使心烦vi.翻倒,倾覆n.翻倒,混乱",ʌp`sɛt,ʌpˈset,,,unit-28
upstairs,"adv.向楼上,在楼上,上楼adj.楼上的",`ʌp`stɛrz,ˌʌpˈstɛəz,,,unit-28
upwards,"adv.以上,向上",`ʌpwɚdz,ˈʌpwə:dz,,,unit-28
use,"vt.使用,利用,耗费n.使用,利用,用途,效用,使用价值",,,,,unit-28
useful,"adj.有用的,有益的,有帮手的",`jusfəl,ˈju:sful,,,unit-28
vacation,"n.假期,休假,(房屋等的)腾出v.<美>度假,休假","ve`keʃən,və_",vəˈkeiʃən,,,unit-28
valley,"n.(山)谷,流域",`vælɪ,ˈvæli,,,unit-29
van,,,,,,unit-29
vase,"n.花瓶,瓶","ves,vez,vɑz",vɑ:z,,,unit-29
vegetable,"n.蔬菜,植物,生活呆板单调的人adj.蔬菜的,植物的","`vɛdʒtəbl,`vɛdʒə_","ˈvedʒtəbl,ˈvedʒə_",,,unit-29
very,"adv.很,甚,及其,非常,完全adj.真正的,真实的,恰好的,绝对的,十足的,特别的",`vɛrɪ,ˈveri,,,unit-29
vest,"n.汗衫,背心,内衣vt.使穿衣服,授予vi.穿衣服,归属",vɛst,vest,,,unit-29
video,"n.电视,录象,视频",`vɪdɪˌo,ˈvidiou,,,unit-29
village,"n.乡村,村庄adj.村庄的",`vɪlɪdʒ,ˈvilidʒ,,,unit-29
violin,"n.小提琴,小提琴手",ˌvaɪə`lɪn,ˌvaiəˈlin,,,unit-29
visit,"n.拜访,访问,游览,参观,(作客)逗留,视察,调查vt.拜访,访问,参观,视察,降临vi.访问,参观,闲谈",`vɪzɪt,ˈvizit,,,unit-29
voice,"n.声音,嗓音,发音能力,意见,发言权,[语法]语态vt.表达,吐露",vɔɪs,vɔis,,,unit-29
wait,"v.(～ for)等待,等候n.等待,等待时间",wet,weit,,,unit-29
waiter,"n.侍者,服务员",`wetɚ,ˈweitə,,,unit-29
wake,"vt.叫醒,激发vi.醒来,醒着,警觉,振奋n.醒,守夜,尾迹,(人,车等经过的)痕迹,守丧",wek,weik,,,unit-29
walk,"vi.步,行,走n.步行,散步,步,行道",wɔk,wɔ:k,,,unit-29
wall,"n.墙壁,围墙,似墙之物adj.墙壁的vt.围以墙",wɔl,wɔ:l,,,unit-29
wallet,"n.皮夹,钱夹,钓鱼带","`wɑlɪt,`wɔl_",ˈwɔlit,,,unit-29
want,"vt.想要,希望,需要,短缺,缺少n.需要,短缺","wɑnt,wɔnt",wɔnt,,,unit-29
war,"n.战争vi.作战,打仗",wɔr,wɔ:,,,unit-29
warm,"adj.暖和的,暖的,温暖的,色情的,激烈的,热烈的,多情的,兴奋的adv.(常用以构成复合词)暖和地vt.使温暖,弄热,使兴奋,使热烈vi.变暖和,变温暖,激动,同情,爱好n.暖,保暖物",wɔrm,wɔ:m,,,unit-29
wash,"n.洗,洗涤,冲洗,洗涤剂,洼地,洗的衣服,冲积物vt.洗,洗涤,洗清,粉刷,冲出,弄湿,流过,镀金于vi.洗涤,洗澡,被冲蚀,漂浮adj.耐洗的,(证券交易)虚假的","wɑʃ,wɔʃ",wɔʃ,,,unit-29
washroom,"n.盥洗室,<美>厕所",,,,,unit-29
